timestamps,ghi,dni,dhi,apparent_zenith,zenith,azimuth,ghi_calc,delta,S4_tilt,S4_azimuth
2003-04-24 21:00:00-04:00,0,0,0,133.9480270319257,133.9480270319257,265.57760515362475,0.0,,,
2003-04-24 22:00:00-04:00,0,0,0,147.55822207653972,147.55822207653972,257.04763439918486,0.0,,,
2003-04-24 23:00:00-04:00,0,0,0,160.46472866445308,160.46472866445308,240.89061552021423,0.0,,,
2003-04-25 00:00:00-04:00,0,0,0,169.3584146647667,169.3584146647667,193.02650458672088,0.0,,,
2003-04-25 01:00:00-04:00,0,0,0,164.21647187315966,164.21647187315966,128.8905535070162,0.0,,,
2003-04-25 02:00:00-04:00,0,0,0,151.92474314656786,151.92474314656786,106.7794496828717,0.0,,,
2003-04-25 03:00:00-04:00,0,0,0,138.4490161202457,138.4490161202457,96.71485380980215,0.0,,,
2003-04-25 04:00:00-04:00,0,0,0,124.71849416428958,124.71849416428958,89.98666263490043,0.0,,,
2003-04-25 05:00:00-04:00,0,0,0,110.98144347902209,110.98144347902209,84.33958357720326,0.0,,,
2003-04-25 06:00:00-04:00,0,0,0,97.37432119010774,97.37432119010774,78.84307672929828,0.0,,,
2003-04-25 07:00:00-04:00,41,45,36,83.89624423072117,84.0342956768746,72.87795448490101,40.67699180127834,-0.7878248749308764,12.140335097253143,90.0
2003-04-25 08:00:00-04:00,241,404,110,71.11096508424056,71.1587164648515,65.79853724145767,240.47087246855494,-0.21955499230085304,69.43725771546198,90.0
2003-04-25 09:00:00-04:00,463,679,112,59.05793473387696,59.085501780330986,56.70816407744741,460.8419276558025,-0.4661063378396281,54.35244768966491,90.0
2003-04-25 10:00:00-04:00,647,804,111,48.42509858669891,48.443786591581635,44.25071740896135,644.3370472903966,-0.4115846537254034,38.190154940333294,90.0
2003-04-25 11:00:00-04:00,768,845,122,40.386067714820506,40.400182433538944,26.74076398197974,765.4981260755469,-0.32576483391316324,20.944480273832013,90.0
2003-04-25 12:00:00-04:00,815,871,114,36.70355495525914,36.715926791665915,3.954510780005535,812.2018644369989,-0.3433295169326499,2.9430521080151664,90.0
2003-04-25 13:00:00-04:00,782,845,120,38.648950537236296,38.662221082655456,340.16795735254277,779.8119139500349,-0.2798064002512962,15.179286601405266,270.0
2003-04-25 14:00:00-04:00,668,732,153,45.503811905270645,45.520690780295446,320.83167150130566,665.8770063377202,-0.31781342249697336,32.73320238178135,270.0
2003-04-25 15:00:00-04:00,488,588,153,55.46912809712109,55.49317944589802,306.94424363144583,486.1045506386059,-0.38841175438404263,49.27379319807088,270.0
2003-04-25 16:00:00-04:00,273,312,151,67.15912648117848,67.19813466419785,296.963330262401,271.91422678043926,-0.39771912804422543,64.70594477300946,270.0
2003-04-25 17:00:00-04:00,94,154,66,79.77723288078579,79.86466278433674,289.37344358911247,93.09997841113938,-0.9574697753836434,21.62110481455231,270.0
2003-04-25 18:00:00-04:00,3,0,3,93.0834953425047,93.0834953425047,283.15309946544335,3.0,0.0,,
2003-04-25 19:00:00-04:00,0,0,0,106.6241484842389,106.6241484842389,277.604462497188,0.0,,,
2003-04-25 20:00:00-04:00,0,0,0,120.33811171484217,120.33811171484217,272.1341825900265,0.0,,,
2003-04-25 21:00:00-04:00,0,0,0,134.09905308413224,134.09905308413224,265.9838779792951,0.0,,,
2003-04-25 22:00:00-04:00,0,0,0,147.72507935084565,147.72507935084565,257.5767728563585,0.0,,,
2003-04-25 23:00:00-04:00,0,0,0,160.6828728820361,160.6828728820361,241.62926704572146,0.0,,,
2003-04-26 00:00:00-04:00,0,0,0,169.68553229486162,169.68553229486162,193.1846450299363,0.0,,,
2003-04-26 01:00:00-04:00,0,0,0,164.4050854089263,164.4050854089263,127.89720325426464,0.0,,,
2003-04-26 02:00:00-04:00,0,0,0,152.0262184477979,152.0262184477979,106.11546212338192,0.0,,,
2003-04-26 03:00:00-04:00,0,0,0,138.5240506319695,138.5240506319695,96.23325350361972,0.0,,,
