timestamps,ghi,dni,dhi,apparent_zenith,zenith,azimuth,ghi_calc,delta,S4_tilt
2003-07-10 21:00:00+04:00,0,0,0,116.61650882775402,116.61650882775402,313.8076311203189,0.0,,
2003-07-10 22:00:00+04:00,0,0,0,125.41599384882045,125.41599384882045,326.3632996629873,0.0,,
2003-07-10 23:00:00+04:00,0,0,0,131.36641727000733,131.36641727000733,342.40230870786706,0.0,,
2003-07-11 00:00:00+04:00,0,0,0,133.35862477489607,133.35862477489607,1.0329566427449208,0.0,,
2003-07-11 01:00:00+04:00,0,0,0,130.90663879657237,130.90663879657237,19.496413582473792,0.0,,
2003-07-11 02:00:00+04:00,0,0,0,124.59898793682676,124.59898793682676,35.17578979286537,0.0,,
2003-07-11 03:00:00+04:00,0,0,0,115.5621627525692,115.5621627525692,47.3841513211662,0.0,,
2003-07-11 04:00:00+04:00,0,0,0,104.77939571248291,104.77939571248291,56.71925064130994,0.0,,
2003-07-11 05:00:00+04:00,2,0,2,92.90441776929632,92.90441776929632,64.0111526457153,2.0,0.0,
2003-07-11 06:00:00+04:00,63,27,59,80.24391802258663,80.3362492345699,69.93167122453809,63.53237450361604,0.8450388946286355,20.58832648546182
2003-07-11 07:00:00+04:00,263,266,160,67.27825929657634,67.31792671080576,74.97019226613497,262.5742229749121,-0.16189240497638102,66.55904538520097
2003-07-11 08:00:00+04:00,505,548,183,53.97983228921527,54.00285683679499,79.50582891377877,505.08421232234804,0.016675707395650913,53.518967349007
2003-07-11 09:00:00+04:00,725,683,205,40.479945972310894,40.49426487460825,83.9180251016071,724.4016721518584,-0.08252797905401292,40.32032102902075
2003-07-11 10:00:00+04:00,901,740,240,26.86330385613728,26.871801756471363,88.86524806832915,900.0948653625074,-0.10045889428330204,26.85877418255305
2003-07-11 11:00:00+04:00,1006,869,160,13.235475931248402,13.239408459391115,97.05296437528648,1005.9033801192437,-0.0096043619042041,13.138810829458265
2003-07-11 12:00:00+04:00,1036,881,156,2.4010773655586775,2.4017526129793794,197.83961725295373,1036.2260844070142,0.021822819209868838,0.7359690778621939
2003-07-11 13:00:00+04:00,994,874,149,14.674421858829305,14.678803505432853,264.2104280851268,994.4740069220845,0.047686813086974554,14.602776154597734
2003-07-11 14:00:00+04:00,876,774,194,28.312486355798463,28.321525406810167,271.6774674330013,875.3515665171874,-0.07402208707906469,28.30223294148685
2003-07-11 15:00:00+04:00,702,707,176,41.92357814938699,41.93864222721173,276.5092891735369,701.9097043341241,-0.012862630466658429,41.73943376814852
2003-07-11 16:00:00+04:00,473,564,153,55.41088045046977,55.435146739334115,280.90942088815575,472.979029468643,-0.004433516143133729,54.92096873339582
2003-07-11 17:00:00+04:00,234,260,140,68.68793718280513,68.7304432942042,285.477386674312,234.3165959818799,0.1352974281538093,67.9615914302243
2003-07-11 18:00:00+04:00,48,11,46,81.61179040392531,81.71775740496778,290.58482843650137,47.584544666224964,-0.8655319453646578,17.443745193931676
2003-07-11 19:00:00+04:00,1,0,1,94.23699514219437,94.23699514219437,296.6183337715215,1.0,0.0,
2003-07-11 20:00:00+04:00,0,0,0,106.03307410445734,106.03307410445734,304.08466375790795,0.0,,
2003-07-11 21:00:00+04:00,0,0,0,116.6858278834859,116.6858278834859,313.6794503111711,0.0,,
2003-07-11 22:00:00+04:00,0,0,0,125.50821900330547,125.50821900330547,326.243707983043,0.0,,
2003-07-11 23:00:00+04:00,0,0,0,131.48185264711034,131.48185264711034,342.31056303440755,0.0,,
2003-07-12 00:00:00+04:00,0,0,0,133.49009995902938,133.49009995902938,0.9931306085499614,0.0,,
2003-07-12 01:00:00+04:00,0,0,0,131.04080507610794,131.04080507610794,19.514498899598834,0.0,,
2003-07-12 02:00:00+04:00,0,0,0,124.72492436233486,124.72492436233486,35.235249981486334,0.0,,
2003-07-12 03:00:00+04:00,0,0,0,115.67550352773077,115.67550352773077,47.46618071789078,0.0,,
2003-07-12 04:00:00+04:00,0,0,0,104.87997992007496,104.87997992007496,56.81329540790114,0.0,,
2003-07-12 05:00:00+04:00,2,0,2,92.9935736808126,92.9935736808126,64.11375239011903,2.0,0.0,
2003-07-12 06:00:00+04:00,62,28,57,80.32252089293719,80.4155451200569,70.04381783847151,61.66203434251371,-0.5451058991714411,20.382534755264942
2003-07-12 07:00:00+04:00,257,281,149,67.34900368848815,67.38880586182114,75.09634489865857,257.0376680811753,0.014656840924240322,66.64379503876299
2003-07-12 08:00:00+04:00,496,530,185,54.04356629068334,54.06664434669767,79.6549938810212,496.02723309278696,0.005490542900596273,53.59612952143563
